job_category;job_title;is_remote;no_degree_needed;has_insurance;schedule_type;job_country;posted_year;posted_month;annual_salary
Data Engineer;Data Engineer with Azure;0;1;0;Contractor;United States;2023;12;105000
Data Analyst;Data Analyst / Data Scientist / Data Engineer;0;0;0;Full-time;India;2023;12;75000
Data Analyst;Data Analyst III - Now Hiring;0;0;1;Full-time;United States;2023;12;54891.2
Senior Data Scientist;"Sr. Manager; Data Science";0;0;0;Full-time;United States;2023;12;125000
Senior Data Scientist;"Sr. Manager; Data Science";0;0;0;Full-time;United States;2023;12;175000
Senior Data Scientist;"Sr. Manager; Data Science";0;0;0;Full-time;United States;2023;12;212000
Senior Data Scientist;"Sr. Manager; Data Science";0;0;0;Full-time;United States;2023;12;225000
Senior Data Scientist;"Sr. Manager; Data Science";0;0;0;Full-time;United States;2023;12;375000
Data Scientist;Data Scientist Technical Specialist;0;0;0;Full-time;United States;2023;12;145000
Data Scientist;Data Scientist Technical Specialist;0;0;0;Full-time;United States;2023;12;145500
Data Scientist;Data Scientist Technical Specialist;0;0;0;Full-time;United States;2023;12;150000
Data Scientist;Data Scientist Technical Specialist;0;0;0;Full-time;United States;2023;12;190000
Data Engineer;DATA ENGINEER CLOUD H/F;0;0;0;Full-time;France;2023;12;147500
Data Scientist;Biostatistician / Data Scientist;0;0;0;Full-time;United States;2023;12;123750
Data Analyst;Economic Data Analyst;0;0;0;Contractor and Temp work;United Kingdom;2023;12;126520
Data Analyst;Data Analyst Staff - Level 4;0;1;0;Full-time;United States;2023;12;146453
Data Analyst;Data Management Lead Analyst (Hybrid);0;0;0;Full-time;United States;2023;12;137610
Data Engineer;Data Engineer- Kaspr;0;0;0;Full-time;France;2023;12;96773
Data Engineer;Data Engineer- Kaspr;0;0;0;Full-time;Tunisia;2023;12;96773
Business Analyst;BI Engineer;0;1;0;Full-time and Part-time;Namibia;2023;12;87360
Business Analyst;BI Engineer;0;1;0;Full-time and Part-time;Namibia;2023;12;140000
Data Engineer;Customer Data Engineer;1;0;0;Contractor;Colombia;2023;12;147500
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;114400
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;124800
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;130000
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;135200
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;150800
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;182000
